College_ID,Rank,University_name,Year,CS_Overall_Score,CS_Academic_Reputation,CS_Employer_Reputation,CS_Citations_Per_Paper,CS__Index_Citations,CS_International_Research,Location,Country
1239,601-650,Feng Chia University,2022,53.48,32.2,53.2,69.8,58.7,, Taichung City ,
1240,601-650,Goldsmiths University of London,2022,50.45,39.7,50.9,59.1,52.1,, London,
1241,601-650,Helwan University ,2022,51.23,37.2,56.2,58.9,52.6,, Helwan ,
1242,601-650,Jawaharlal Nehru University,2022,51.85,38.5,53.9,61.8,53.2,, New Delhi ,
1243,601-650,Jeonbuk National University,2022,51.33,36.4,52.4,62.2,54.3,, Jeonju ,
1244,601-650,Louisiana State University,2022,54.15,30.4,55.9,71.6,58.7,, Baton Rouge ,
1245,601-650,Mansoura University,2022,54.13,35.5,49.5,69.1,62.4,, Mansoura  ,
1246,601-650,Massey University,2022,51.03,34.5,55.8,61.2,52.6,, Palmerston North ,
1247,601-650,North South University,2022,45.83,40,66.9,40.2,36.2,, Dhaka ,
1248,601-650,Poznan University of Technology,2022,53.2,40.2,42.8,69.4,60.4,, Poznan ,
1249,601-650,Prince Mohammad Bin Fahd university,2022,45.05,49,55.7,38.2,37.3,, Al Khobar ,
1250,601-650,Ruhr-Universität Bochum,2022,53.73,38.5,42.2,73.4,60.8,, Bochum ,
1251,601-650,Saint Joseph University of Beirut (USJ) ,2022,45.83,40.6,68.5,35.8,38.4,, Beirut ,
1252,601-650,Shandong University,2022,56.7,35,39.7,74.8,77.3,, Jinan ,
1253,601-650,Stellenbosch University,2022,51.8,30.3,62.8,61.5,52.6,, Stellenbosch ,
1254,601-650,Sultan Qaboos University,2022,50.5,42.2,51.8,57.1,50.9,, Muscat ,
1255,601-650,Tallinn University of Technology (TalTech),2022,49.38,44.9,45,58.6,49,, Tallinn ,
1256,601-650,Technical University of Cluj-Napoca,2022,50.55,36.7,54.9,60.3,50.3,, Cluj-Napoca ,
1257,601-650,Technological University Dublin,2022,46.95,40.9,61,45.6,40.3,, Dublin ,
1258,601-650,Thapar Institute of Engineering &amp; Technology,2022,56.95,34.6,38.6,80.8,73.8,, Patiala ,
1259,601-650,Tianjin University,2022,56.58,36.7,36.1,75,78.5,, Tianjin ,
1260,601-650,Ton Duc Thang University,2022,54.53,35.8,47.6,73.9,60.8,, Ho Chi Minh City ,
1261,601-650,Universidad de Antioquia,2022,49.68,37.9,62.9,52.5,45.4,, Medellin ,
1262,601-650,Universidad de Guadalajara (UDG),2022,49.98,40.5,56.9,54.2,48.3,, Guadalajara ,
1263,601-650,Universiti Malaysia Pahang,2022,52.75,39.7,47.2,66.8,57.3,, Kuantan ,
1264,601-650,University of Basel,2022,52.6,35.7,52.1,66.3,56.3,, Basel ,
1265,601-650,University of Cologne,2022,51.6,36.4,53.5,63.3,53.2,, Cologne ,
1266,601-650,University of Guelph,2022,52.9,31,60.9,64.9,54.8,, Guelph ,
1267,601-650,University of Haifa,2022,52.5,38.5,46.9,67.3,57.3,, Haifa ,
1268,601-650,University of Mons ,2022,50.48,41.8,50,56.3,53.8,, Mons ,
1269,601-650,University of Mumbai,2022,53.93,24.7,59.9,64.2,66.9,, Mumbai ,
